\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	-2.4914 km
	latitude :	0
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{-2.4914}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	89.899	125.0	0.1149E-01	0.4580E-06	0.957	0.027	0.016
	89.799	125.1	0.1166E-01	0.4646E-06	0.957	0.027	0.016
	89.699	125.1	0.1183E-01	0.4712E-06	0.957	0.027	0.016
	89.599	125.2	0.1201E-01	0.4779E-06	0.957	0.027	0.016
	89.499	125.2	0.1219E-01	0.4848E-06	0.957	0.027	0.016
	89.399	125.3	0.1237E-01	0.4917E-06	0.957	0.027	0.016
	89.299	125.4	0.1255E-01	0.4987E-06	0.957	0.027	0.016
	89.199	125.4	0.1273E-01	0.5058E-06	0.957	0.027	0.016
	89.099	125.5	0.1292E-01	0.5131E-06	0.957	0.027	0.016
	88.999	125.6	0.1311E-01	0.5204E-06	0.957	0.027	0.016
	88.899	125.6	0.1331E-01	0.5278E-06	0.957	0.027	0.016
	88.799	125.7	0.1350E-01	0.5354E-06	0.957	0.027	0.016
	88.699	125.7	0.1370E-01	0.5430E-06	0.957	0.027	0.016
	88.599	125.8	0.1391E-01	0.5508E-06	0.957	0.027	0.016
	88.499	125.9	0.1411E-01	0.5586E-06	0.957	0.027	0.016
	88.399	125.9	0.1432E-01	0.5666E-06	0.957	0.027	0.016
	88.299	126.0	0.1453E-01	0.5747E-06	0.957	0.027	0.016
	88.199	126.1	0.1475E-01	0.5829E-06	0.957	0.027	0.016
	88.099	126.1	0.1496E-01	0.5913E-06	0.957	0.027	0.016
	87.999	126.2	0.1519E-01	0.5997E-06	0.957	0.027	0.016
	87.899	126.2	0.1541E-01	0.6083E-06	0.957	0.027	0.016
	87.799	126.3	0.1564E-01	0.6170E-06	0.957	0.027	0.016
	87.699	126.4	0.1587E-01	0.6257E-06	0.957	0.027	0.016
	87.599	126.4	0.1610E-01	0.6344E-06	0.957	0.027	0.016
	87.499	126.5	0.1633E-01	0.6431E-06	0.957	0.027	0.016
	87.399	126.6	0.1656E-01	0.6519E-06	0.957	0.027	0.016
	87.299	126.7	0.1680E-01	0.6609E-06	0.957	0.027	0.016
	87.199	126.8	0.1704E-01	0.6700E-06	0.957	0.027	0.016
	87.099	126.8	0.1729E-01	0.6793E-06	0.957	0.027	0.016
	86.999	126.9	0.1754E-01	0.6886E-06	0.957	0.027	0.016
	86.899	127.0	0.1779E-01	0.6981E-06	0.957	0.027	0.016
	86.799	127.1	0.1805E-01	0.7077E-06	0.957	0.027	0.016
	86.699	127.1	0.1831E-01	0.7175E-06	0.957	0.027	0.016
	86.599	127.2	0.1857E-01	0.7274E-06	0.957	0.027	0.016
	86.499	127.3	0.1884E-01	0.7374E-06	0.957	0.027	0.016
	86.399	127.4	0.1911E-01	0.7475E-06	0.957	0.027	0.016
	86.299	127.5	0.1938E-01	0.7578E-06	0.957	0.027	0.016
	86.199	127.5	0.1966E-01	0.7683E-06	0.957	0.027	0.016
	86.099	127.6	0.1994E-01	0.7789E-06	0.957	0.027	0.016
	85.999	127.7	0.2023E-01	0.7896E-06	0.957	0.027	0.016
	85.899	127.8	0.2052E-01	0.8005E-06	0.957	0.027	0.016
	85.799	127.8	0.2082E-01	0.8115E-06	0.957	0.027	0.016
	85.699	127.9	0.2112E-01	0.8227E-06	0.957	0.027	0.016
	85.599	128.0	0.2142E-01	0.8340E-06	0.957	0.027	0.016
	85.499	128.1	0.2173E-01	0.8455E-06	0.957	0.027	0.016
	85.399	128.2	0.2204E-01	0.8572E-06	0.957	0.027	0.016
	85.299	128.2	0.2236E-01	0.8690E-06	0.957	0.027	0.016
	85.199	128.3	0.2268E-01	0.8810E-06	0.957	0.027	0.016
	85.099	128.4	0.2301E-01	0.8931E-06	0.957	0.027	0.016
	84.999	128.5	0.2334E-01	0.9054E-06	0.957	0.027	0.016
	84.899	128.5	0.2368E-01	0.9179E-06	0.957	0.027	0.016
	84.799	128.6	0.2402E-01	0.9306E-06	0.957	0.027	0.016
	84.699	128.7	0.2436E-01	0.9434E-06	0.957	0.027	0.016
	84.599	128.8	0.2471E-01	0.9564E-06	0.957	0.027	0.016
	84.499	128.9	0.2507E-01	0.9696E-06	0.957	0.027	0.016
	84.399	128.9	0.2543E-01	0.9830E-06	0.957	0.027	0.016
	84.299	129.0	0.2580E-01	0.9965E-06	0.957	0.027	0.016
	84.199	129.1	0.2617E-01	0.1010E-05	0.957	0.027	0.016
	84.099	129.2	0.2654E-01	0.1024E-05	0.957	0.027	0.016
	83.999	129.2	0.2693E-01	0.1038E-05	0.957	0.027	0.016
	83.899	129.3	0.2731E-01	0.1053E-05	0.957	0.027	0.016
	83.799	129.4	0.2771E-01	0.1067E-05	0.957	0.027	0.016
