\comments
	 Dayly averaged Mars atmospheric profiles computed with MarsGram2001 
	date :	2000/1/1 12:0:0
	ground altitude :	1.701 km
	latitude :	-45
	longitude :	180
\definition
	 \type_of_composition{mass_composition}
	 \mass_density_unit{kg/m3}
	 \pressure_unit{Pa}
	 \altitude_unit{km}
	 \ground_altitude{1.701}
	 \top_altitude{90}
\data
	altitude	temperature	pressure	density	CO2	N2	Ar
	89.899	130.1	0.1442E-01	0.5520E-06	0.957	0.027	0.016
	89.799	130.2	0.1463E-01	0.5596E-06	0.957	0.027	0.016
	89.699	130.3	0.1484E-01	0.5673E-06	0.957	0.027	0.016
	89.599	130.3	0.1505E-01	0.5751E-06	0.957	0.027	0.016
	89.499	130.4	0.1526E-01	0.5830E-06	0.957	0.027	0.016
	89.399	130.4	0.1548E-01	0.5910E-06	0.957	0.027	0.016
	89.299	130.5	0.1569E-01	0.5992E-06	0.957	0.027	0.016
	89.199	130.5	0.1592E-01	0.6074E-06	0.957	0.027	0.016
	89.099	130.6	0.1614E-01	0.6158E-06	0.957	0.027	0.016
	88.999	130.6	0.1637E-01	0.6242E-06	0.957	0.027	0.016
	88.899	130.7	0.1660E-01	0.6328E-06	0.957	0.027	0.016
	88.799	130.7	0.1684E-01	0.6415E-06	0.957	0.027	0.016
	88.699	130.8	0.1708E-01	0.6504E-06	0.957	0.027	0.016
	88.599	130.9	0.1732E-01	0.6593E-06	0.957	0.027	0.016
	88.499	130.9	0.1756E-01	0.6684E-06	0.957	0.027	0.016
	88.399	131.0	0.1781E-01	0.6776E-06	0.957	0.027	0.016
	88.299	131.0	0.1807E-01	0.6869E-06	0.957	0.027	0.016
	88.199	131.1	0.1832E-01	0.6964E-06	0.957	0.027	0.016
	88.099	131.1	0.1858E-01	0.7060E-06	0.957	0.027	0.016
	87.999	131.2	0.1885E-01	0.7157E-06	0.957	0.027	0.016
	87.899	131.2	0.1911E-01	0.7255E-06	0.957	0.027	0.016
	87.799	131.3	0.1938E-01	0.7355E-06	0.957	0.027	0.016
	87.699	131.4	0.1966E-01	0.7456E-06	0.957	0.027	0.016
	87.599	131.4	0.1993E-01	0.7555E-06	0.957	0.027	0.016
	87.499	131.5	0.2020E-01	0.7656E-06	0.957	0.027	0.016
	87.399	131.6	0.2048E-01	0.7759E-06	0.957	0.027	0.016
	87.299	131.6	0.2077E-01	0.7862E-06	0.957	0.027	0.016
	87.199	131.7	0.2106E-01	0.7968E-06	0.957	0.027	0.016
	87.099	131.7	0.2135E-01	0.8074E-06	0.957	0.027	0.016
	86.999	131.8	0.2164E-01	0.8182E-06	0.957	0.027	0.016
	86.899	131.9	0.2194E-01	0.8291E-06	0.957	0.027	0.016
	86.799	131.9	0.2225E-01	0.8402E-06	0.957	0.027	0.016
	86.699	132.0	0.2256E-01	0.8514E-06	0.957	0.027	0.016
	86.599	132.1	0.2287E-01	0.8628E-06	0.957	0.027	0.016
	86.499	132.1	0.2318E-01	0.8744E-06	0.957	0.027	0.016
	86.399	132.2	0.2351E-01	0.8860E-06	0.957	0.027	0.016
	86.299	132.3	0.2383E-01	0.8979E-06	0.957	0.027	0.016
	86.199	132.3	0.2416E-01	0.9099E-06	0.957	0.027	0.016
	86.099	132.4	0.2450E-01	0.9221E-06	0.957	0.027	0.016
	85.999	132.4	0.2483E-01	0.9344E-06	0.957	0.027	0.016
	85.899	132.5	0.2518E-01	0.9469E-06	0.957	0.027	0.016
	85.799	132.6	0.2553E-01	0.9595E-06	0.957	0.027	0.016
	85.699	132.6	0.2588E-01	0.9724E-06	0.957	0.027	0.016
	85.599	132.7	0.2624E-01	0.9854E-06	0.957	0.027	0.016
	85.499	132.8	0.2660E-01	0.9985E-06	0.957	0.027	0.016
	85.399	132.8	0.2697E-01	0.1012E-05	0.957	0.027	0.016
	85.299	132.9	0.2735E-01	0.1025E-05	0.957	0.027	0.016
	85.199	133.0	0.2772E-01	0.1039E-05	0.957	0.027	0.016
	85.099	133.0	0.2811E-01	0.1053E-05	0.957	0.027	0.016
	84.999	133.1	0.2850E-01	0.1067E-05	0.957	0.027	0.016
	84.899	133.1	0.2889E-01	0.1081E-05	0.957	0.027	0.016
	84.799	133.2	0.2929E-01	0.1096E-05	0.957	0.027	0.016
	84.699	133.3	0.2970E-01	0.1110E-05	0.957	0.027	0.016
	84.599	133.3	0.3011E-01	0.1125E-05	0.957	0.027	0.016
	84.499	133.4	0.3053E-01	0.1140E-05	0.957	0.027	0.016
	84.399	133.5	0.3095E-01	0.1156E-05	0.957	0.027	0.016
	84.299	133.5	0.3138E-01	0.1171E-05	0.957	0.027	0.016
	84.199	133.6	0.3181E-01	0.1187E-05	0.957	0.027	0.016
	84.099	133.7	0.3225E-01	0.1203E-05	0.957	0.027	0.016
	83.999	133.7	0.3270E-01	0.1219E-05	0.957	0.027	0.016
	83.899	133.8	0.3315E-01	0.1235E-05	0.957	0.027	0.016
	83.799	133.9	0.3361E-01	0.1251E-05	0.957	0.027	0.016
	83.699	133.9	0.3408E-01	0.1268E-05	0.957	0.027	0.016
	83.599	134.0	0.3455E-01	0.1285E-05	0.957	0.027	0.016
	83.499	134.0	0.3503E-01	0.1302E-05	0.957	0.027	0.016
	83.399	134.1	0.3551E-01	0.1320E-05	0.957	0.027	0.016
	83.299	134.2	0.3601E-01	0.1337E-05	0.957	0.027	0.016
	83.199	134.2	0.3650E-01	0.1355E-05	0.957	0.027	0.016
	83.099	134.3	0.3701E-01	0.1373E-05	0.957	0.027	0.016
	82.999	134.4	0.3752E-01	0.1392E-05	0.957	0.027	0.016
	82.899	134.4	0.3804E-01	0.1410E-05	0.957	0.027	0.016
	82.799	134.5	0.3857E-01	0.1429E-05	0.957	0.027	0.016
	82.699	134.6	0.3910E-01	0.1448E-05	0.957	0.027	0.016
	82.599	134.6	0.3963E-01	0.1467E-05	0.957	0.027	0.016
	82.499	134.7	0.4017E-01	0.1486E-05	0.957	0.027	0.016
	82.399	134.7	0.4071E-01	0.1506E-05	0.957	0.027	0.016
	82.299	134.8	0.4126E-01	0.1526E-05	0.957	0.027	0.016
	82.199	134.9	0.4182E-01	0.1546E-05	0.957	0.027	0.016
	82.099	134.9	0.4239E-01	0.1566E-05	0.957	0.027	0.016
	81.999	135.0	0.4296E-01	0.1586E-05	0.957	0.027	0.016
	81.899	135.0	0.4354E-01	0.1607E-05	0.957	0.027	0.016
	81.799	135.1	0.4413E-01	0.1628E-05	0.957	0.027	0.016
	81.699	135.2	0.4473E-01	0.1649E-05	0.957	0.027	0.016
	81.599	135.2	0.4534E-01	0.1671E-05	0.957	0.027	0.016
	81.499	135.3	0.4595E-01	0.1693E-05	0.957	0.027	0.016
	81.399	135.4	0.4657E-01	0.1715E-05	0.957	0.027	0.016
	81.299	135.4	0.4720E-01	0.1737E-05	0.957	0.027	0.016
	81.199	135.5	0.4784E-01	0.1760E-05	0.957	0.027	0.016
	81.099	135.5	0.4849E-01	0.1783E-05	0.957	0.027	0.016
	80.999	135.6	0.4915E-01	0.1806E-05	0.957	0.027	0.016
	80.899	135.7	0.4981E-01	0.1830E-05	0.957	0.027	0.016
	80.799	135.7	0.5049E-01	0.1854E-05	0.957	0.027	0.016
	80.699	135.8	0.5117E-01	0.1878E-05	0.957	0.027	0.016
	80.599	135.8	0.5187E-01	0.1903E-05	0.957	0.027	0.016
	80.499	135.9	0.5257E-01	0.1928E-05	0.957	0.027	0.016
	80.399	136.0	0.5328E-01	0.1953E-05	0.957	0.027	0.016
	80.299	136.0	0.5400E-01	0.1979E-05	0.957	0.027	0.016
	80.199	136.1	0.5473E-01	0.2004E-05	0.957	0.027	0.016
	80.099	136.2	0.5547E-01	0.2031E-05	0.957	0.027	0.016
	79.999	136.2	0.5623E-01	0.2057E-05	0.957	0.027	0.016
	79.899	136.3	0.5699E-01	0.2084E-05	0.957	0.027	0.016
	79.799	136.3	0.5776E-01	0.2111E-05	0.957	0.027	0.016
	79.699	136.4	0.5854E-01	0.2139E-05	0.957	0.027	0.016
	79.599	136.5	0.5933E-01	0.2167E-05	0.957	0.027	0.016
	79.499	136.5	0.6014E-01	0.2195E-05	0.957	0.027	0.016
	79.399	136.6	0.6095E-01	0.2224E-05	0.957	0.027	0.016
	79.299	136.7	0.6178E-01	0.2253E-05	0.957	0.027	0.016
	79.199	136.7	0.6261E-01	0.2283E-05	0.957	0.027	0.016
	79.099	136.8	0.6346E-01	0.2313E-05	0.957	0.027	0.016
	78.999	136.8	0.6432E-01	0.2343E-05	0.957	0.027	0.016
	78.899	136.9	0.6519E-01	0.2374E-05	0.957	0.027	0.016
	78.799	137.0	0.6608E-01	0.2405E-05	0.957	0.027	0.016
	78.699	137.0	0.6697E-01	0.2436E-05	0.957	0.027	0.016
	78.599	137.1	0.6788E-01	0.2468E-05	0.957	0.027	0.016
	78.499	137.1	0.6880E-01	0.2500E-05	0.957	0.027	0.016
	78.399	137.2	0.6973E-01	0.2533E-05	0.957	0.027	0.016
	78.299	137.3	0.7067E-01	0.2566E-05	0.957	0.027	0.016
	78.199	137.3	0.7163E-01	0.2600E-05	0.957	0.027	0.016
	78.099	137.4	0.7260E-01	0.2634E-05	0.957	0.027	0.016
	77.999	137.5	0.7358E-01	0.2668E-05	0.957	0.027	0.016
	77.899	137.5	0.7458E-01	0.2703E-05	0.957	0.027	0.016
	77.799	137.6	0.7559E-01	0.2739E-05	0.957	0.027	0.016
	77.699	137.7	0.7665E-01	0.2777E-05	0.957	0.027	0.016
	77.599	137.8	0.7787E-01	0.2824E-05	0.957	0.027	0.016
	77.499	138.0	0.7910E-01	0.2872E-05	0.957	0.027	0.016
	77.399	138.1	0.8036E-01	0.2921E-05	0.957	0.027	0.016
	77.299	138.3	0.8163E-01	0.2971E-05	0.957	0.027	0.016
	77.199	138.4	0.8293E-01	0.3021E-05	0.957	0.027	0.016
	77.099	138.6	0.8424E-01	0.3073E-05	0.957	0.027	0.016
	76.999	138.7	0.8558E-01	0.3125E-05	0.957	0.027	0.016
	76.899	138.9	0.8694E-01	0.3178E-05	0.957	0.027	0.016
	76.799	139.0	0.8832E-01	0.3232E-05	0.957	0.027	0.016
	76.699	139.2	0.8972E-01	0.3287E-05	0.957	0.027	0.016
