altitude[km]	temperature[k]	pressure[hPa]	depth[mg/cm2]	density[mg/cm3]	ndensity[#/cm3]	Hydrogen[%mass]	Helium[%mass]	Oxygen[%mass]	Nitrogen[%mass]	Argon[%mass]
500	1289.58	5.76421e-09	0	9.15405e-13	3.23667e+07		0.0053859	0.253169	80.5272	19.2123	0.00193637
499.9	1289.58	5.77196e-09	9.16054e-09	9.16703e-13	3.24102e+07		0.0053787	0.25289	80.5151	19.2247	0.00193974
499.8	1289.58	5.77971e-09	1.83341e-08	9.18003e-13	3.24538e+07		0.00537151	0.252612	80.503	19.2371	0.00194312
499.7	1289.57	5.78748e-09	2.75206e-08	9.19304e-13	3.24975e+07		0.00536433	0.252334	80.4909	19.2494	0.0019465
499.6	1289.57	5.79526e-09	3.67202e-08	9.20608e-13	3.25412e+07		0.00535716	0.252056	80.4788	19.2618	0.00194988
499.5	1289.57	5.80305e-09	4.59328e-08	9.21914e-13	3.25849e+07		0.00535	0.251779	80.4667	19.2742	0.00195327
499.4	1289.57	5.81085e-09	5.51584e-08	9.23222e-13	3.26288e+07		0.00534285	0.251502	80.4546	19.2866	0.00195667
499.3	1289.57	5.81866e-09	6.43972e-08	9.24531e-13	3.26727e+07		0.0053357	0.251225	80.4424	19.299	0.00196007
499.2	1289.57	5.82648e-09	7.36491e-08	9.25843e-13	3.27166e+07		0.00532857	0.250948	80.4303	19.3115	0.00196348
499.1	1289.57	5.83431e-09	8.29141e-08	9.27157e-13	3.27607e+07		0.00532144	0.250672	80.4182	19.3239	0.0019669
499	1289.56	5.84216e-09	9.21922e-08	9.28473e-13	3.28048e+07		0.00531432	0.250396	80.406	19.3363	0.00197032
498.9	1289.56	5.85002e-09	1.01484e-07	9.29791e-13	3.28489e+07		0.00530721	0.25012	80.3938	19.3488	0.00197374
498.8	1289.56	5.85789e-09	1.10788e-07	9.31111e-13	3.28931e+07		0.00530011	0.249844	80.3816	19.3612	0.00197717
498.7	1289.56	5.86576e-09	1.20106e-07	9.32432e-13	3.29374e+07		0.00529302	0.249569	80.3695	19.3737	0.00198061
498.6	1289.56	5.87365e-09	1.29437e-07	9.33756e-13	3.29818e+07		0.00528593	0.249294	80.3573	19.3862	0.00198405
498.5	1289.56	5.88156e-09	1.38781e-07	9.35083e-13	3.30262e+07		0.00527885	0.249019	80.3451	19.3986	0.0019875
498.4	1289.56	5.88947e-09	1.48138e-07	9.36411e-13	3.30706e+07		0.00527179	0.248744	80.3329	19.4111	0.00199096
498.3	1289.55	5.8974e-09	1.57509e-07	9.37741e-13	3.31152e+07		0.00526473	0.24847	80.3206	19.4236	0.00199442
